-686,-894
-28,935
-192,758
-570,485
-66,-761
561,-326
-991,-124
583,451
-783,784
593,-853
241,118
-677,-152
-497,-163
388,-298
184,-896
-709,794
-840,-334
-545,-298
-898,301
544,-28
-87,-424
-411,-614
892,921
-476,751
818,-853
-101,893
619,-704
154,840
-780,429
508,-724
172,-558
-267,-310
-626,355
-570,-137
570,152
688,-490
-287,-407
-266,10
386,-923
713,188
-225,485
875,-789
295,440
-699,-208
644,827
376,-255
476,350
-560,484
918,352
794,-382
-795,864
-553,-182
-437,804
651,-344
-387,283
283,-153
-524,542
-627,745
808,370
369,-945
-426,74
-781,356
553,780
-740,-127
64,706
186,183
764,231
-821,-67
-904,-7
-774,26
18,907
-270,40
851,485
-397,71
-162,753
899,-785
-554,-814
221,726
729,-345
-838,-661
749,-528
-958,-151
-818,-747
-566,82
-996,-784
-84,379
-408,-893
349,-375
400,880
-978,737
-199,362
-440,1
392,-294
786,58
-596,270
-218,525
-726,773
881,-859
-570,83
514,253
-901,392
-261,222
-707,304
-67,-536
-194,793
-343,16
-933,226
557,855
-167,296
775,-894
20,107
722,258
-70,-526
-588,865
953,789
127,860
200,-509
298,258
409,-39
-680,373
-280,546
328,-81
-572,183
38,678
733,-138
-69,-954
772,640
222,976
655,-281
710,29
512,-143
249,891
-18,-189
-695,-905
522,695
242,249
