-230,-417
-149,-169
467,-265
-88,-973
60,787
166,156
-671,-895
852,-7
609,-435
59,758
443,384
-205,-450
-542,-525
-635,880
651,696
-897,645
937,241
936,177
795,-129
944,-433
-979,745
-879,267
-81,-504
655,-630
-865,-499
317,-568
776,-174
-657,-6
-533,-202
356,-877
467,-325
-833,-304
-383,536
-630,-147
-491,-272
923,587
743,207
-185,498
932,-375
-332,751
974,-16
-839,-394
-493,999
555,772
717,527
634,-622
-44,919
612,-756
-524,833
-609,311
425,-485
-137,909
-472,399
-875,270
192,922
-18,137
-160,-674
189,-133
821,-357
-876,-533
-951,-561
732,545
-13,13
766,551
152,4
-182,-116
270,767
740,-508
1000,452
-285,-171
-655,710
-94,-624
104,-829
-350,-930
-874,121
70,105
362,399
-660,-750
414,-613
-765,457
-436,-309
570,-211
462,-985
-60,-33
-391,280
-940,533
-896,835
472,946
555,-959
26,85
723,-155
588,-259
-889,584
-215,936
-294,-341
460,-323
156,-531
685,-398
404,-296
-610,10
-203,226
261,473
170,153
-354,-47
928,-734
-738,623
-367,-495
417,140
897,890
-806,-885
620,-900
44,-304
621,-333
961,-939
451,219
-848,561
-430,-246
714,-800
990,-538
219,941
928,-649
-344,-196
121,-199
-545,-88
826,-141
-165,-537
-220,-645
-406,709
-678,561
-144,813
188,-958
-170,-980
377,519
-894,-385
-687,296
13,-359
126,788
260,-226
-685,836
-916,602
289,-783
42,-463
-219,594
100,-801
795,-230
476,-235
-572,532
707,-742
360,110
217,-320
-181,307
-349,-392
-993,848
-717,998
-979,125
-624,-301
-304,-253
788,-833
614,-655
-114,783
371,-266
-269,61
-440,-80
671,-981
-189,775
119,-836
439,625
-710,303
-686,47
386,-126
528,838
728,-466
15,-404
-161,374
393,-356
611,847
-511,352
-966,867
-830,52
10,-738
559,-875
483,938
-917,592
366,-547
-333,583
981,-418
121,792
75,921
-860,-283
-143,-697
-997,-233
-720,-396
-716,252
955,320
-223,-268
307,134
579,42
-539,127
592,3
653,-865
38,-498
46,107
-214,-968
-102,433
646,820
-812,-366
527,760
-180,285
-520,-694
