714,-446
-571,19
563,-240
-446,200
614,-761
-508,816
-917,-745
-565,560
359,-660
693,-925
-862,-638
995,-193
431,550
187,-454
-741,-910
487,50
986,-118
757,-718
-27,-445
888,25
202,-298
408,594
607,469
807,-8
-118,267
972,-682
-538,357
-386,103
848,568
736,-55
242,634
-187,-564
-489,-832
-925,-816
-127,612
439,514
674,-608
36,434
-486,194
-371,229
70,-999
-640,485
-729,-512
-352,312
903,-130
798,490
-706,166
315,-140
445,690
664,-878
-761,627
-272,-870
364,495
-135,-303
962,279
-166,162
244,-910
292,-405
-896,-578
295,-904
186,-902
78,-440
156,-974
-750,752
-573,273
611,-28
48,483
480,-213
-168,-349
485,-352
-626,350
-813,-723
123,450
585,-646
-386,-152
75,445
-176,-591
-65,-970
343,-948
-218,147
9,271
-391,-51
486,-12
470,376
29,-142
-492,-174
-336,-965
-24,156
110,-343
-455,369
350,-419
90,-967
743,-105
-901,-313
54,518
-698,231
908,270
-633,-850
-272,572
982,589
-285,879
270,327
845,466
399,-949
-824,-932
309,-546
-819,-470
-453,-610
190,278
60,71
52,-587
-376,373
-851,-852
488,251
346,-38
54,-562
-550,400
315,-986
716,56
-956,593
-683,248
936,-244
-793,-689
712,751
674,598
798,236
957,49
-661,58
430,418
-590,-139
-373,7
40,848
535,177
549,-598
660,584
112,94
545,374
110,390
38,-388
-128,-5
554,-233
-942,121
391,980
-869,-13
827,-154
982,-618
481,123
193,-67
-257,-975
661,170
794,-641
36,642
979,-318
-688,-453
-457,824
774,-322
499,-821
553,504
472,-808
-738,-530
133,50
366,-316
951,349
-742,1000
-476,-962
-230,-622
225,697
-796,645
-528,-530
-662,-521
-175,79
32,667
-601,377
-639,806
-490,35
-217,814
529,205
-840,-572
119,-875
-851,419
-14,-791
-473,753
101,-652
542,129
642,-492
-456,633
-940,574
-984,649
