800,640
-137,194
-557,395
311,129
-391,507
642,-477
267,-741
216,-714
205,-315
-60,481
-624,289
366,-522
59,68
-805,798
427,-49
-409,266
879,70
286,479
-258,-136
732,-784
-608,-902
-286,-118
692,451
562,-513
688,852
735,-644
547,452
-780,884
694,96
647,-219
-756,540
-565,-870
-975,634
-215,780
932,-480
-682,486
961,474
-17,971
-327,-234
-452,-399
820,313
106,490
854,-824
553,385
533,-691
103,686
-906,210
-612,-738
-402,70
-998,478
-542,-735
-406,146
166,-385
-746,103
902,791
250,920
-745,933
494,9
520,-166
-789,-869
826,141
84,2
919,253
-85,-332
836,-516
-847,-999
446,343
-192,194
-858,208
-843,102
493,985
480,-494
177,431
-843,351
-492,-518
84,282
-913,950
754,-364
543,-682
-476,-853
-689,996
80,49
-469,-970
-689,183
843,-996
-904,593
846,513
-209,66
752,164
-276,-856
98,242
-594,752
-347,-775
505,-413
169,735
-712,550
63,-720
-815,-485
98,-879
617,755
-604,569
189,-716
52,232
-850,119
599,-80
734,-850
-376,385
-29,435
997,-414
585,523
-110,-176
843,-662
-411,26
-420,814
-719,-129
-364,996
-737,-48
-450,737
-821,-256
-939,-843
-839,108
-304,939
-560,-289
-685,843
38,-770
-157,685
-451,860
-575,848
-515,-3
-923,-405
732,-225
411,316
-863,843
721,-220
-452,-553
-343,-574
481,882
-490,-446
185,-10
-345,190
-215,148
923,-224
-103,-651
-365,-64
734,133
-149,-110
-602,-907
-379,220
-4,703
-55,539
684,170
765,-680
